age,sport,training_days,matches_30_days,rest_days,previous_injury,training_intensity,injury_risk_score,risk_level
30,Weightlifting,1,10,0,No,Medium,70,HIGH
39,Tennis,1,5,3,No,High,60,MEDIUM
38,Weightlifting,1,2,3,No,High,46,MEDIUM
15,Cricket,5,2,2,No,Medium,48,MEDIUM
21,Soccer,3,1,5,No,Low,27,LOW
33,Cricket,1,12,1,No,High,79,HIGH
28,Tennis,5,10,1,No,Low,60,MEDIUM
40,Weightlifting,4,10,3,Yes,Medium,82,HIGH
24,Basketball,6,10,1,No,Medium,85,HIGH
38,Tennis,1,9,1,Yes,High,100,HIGH
20,Soccer,4,0,2,No,Medium,43,MEDIUM
22,Tennis,6,12,1,Yes,High,100,HIGH
16,Running,2,3,1,No,Medium,50,MEDIUM
26,Basketball,6,7,2,No,Medium,59,MEDIUM
15,Weightlifting,6,11,1,No,Low,84,HIGH
25,Basketball,2,6,1,Yes,Medium,71,HIGH
19,Cricket,7,2,5,Yes,Low,67,HIGH
34,Soccer,6,12,2,No,Low,76,HIGH
20,Running,7,3,5,Yes,High,70,HIGH
21,Cricket,5,5,5,No,High,55,MEDIUM
28,Running,4,7,5,No,Medium,50,MEDIUM
21,Running,6,1,1,Yes,High,90,HIGH
19,Basketball,4,11,2,Yes,High,100,HIGH
29,Running,5,0,2,No,Medium,41,MEDIUM
32,Weightlifting,3,13,3,No,Low,63,MEDIUM
36,Basketball,2,2,2,No,High,56,MEDIUM
23,Basketball,1,3,4,No,Medium,25,LOW
38,Tennis,3,6,2,Yes,Medium,72,HIGH
18,Basketball,5,2,4,Yes,Medium,61,MEDIUM
38,Weightlifting,3,10,4,No,Medium,58,MEDIUM
31,Basketball,5,11,4,No,Medium,72,HIGH
20,Tennis,1,7,3,No,Medium,45,MEDIUM
30,Running,6,13,1,No,High,100,HIGH
25,Weightlifting,4,13,5,No,Medium,60,MEDIUM
26,Running,2,4,0,No,High,70,HIGH
21,Basketball,6,3,4,No,Low,52,MEDIUM
33,Tennis,7,13,5,No,Medium,78,HIGH
22,Basketball,3,3,4,Yes,Medium,45,MEDIUM
36,Cricket,7,4,5,No,Medium,53,MEDIUM
30,Soccer,6,12,2,No,High,81,HIGH
20,Tennis,2,1,2,No,Low,22,LOW
21,Basketball,6,7,4,No,Low,50,MEDIUM
20,Tennis,1,3,4,No,High,39,MEDIUM
18,Weightlifting,2,7,5,No,Low,40,MEDIUM
36,Cricket,1,6,1,Yes,Low,69,HIGH
26,Cricket,2,2,3,Yes,High,49,MEDIUM
28,Running,1,8,3,No,Medium,63,MEDIUM
25,Tennis,6,2,3,No,High,61,MEDIUM
31,Tennis,3,8,5,Yes,High,77,HIGH
26,Cricket,4,9,5,No,Low,55,MEDIUM
20,Cricket,5,10,5,No,High,62,MEDIUM
16,Running,6,1,5,No,Medium,51,MEDIUM
36,Weightlifting,1,5,5,No,High,51,MEDIUM
40,Running,7,4,5,Yes,Low,81,HIGH
34,Soccer,4,6,5,Yes,Medium,70,HIGH
33,Running,1,5,3,No,Medium,53,MEDIUM
30,Soccer,2,10,4,Yes,Medium,74,HIGH
36,Soccer,6,1,0,No,High,86,HIGH
31,Running,6,13,1,No,Low,83,HIGH
21,Basketball,4,8,3,No,Medium,58,MEDIUM
36,Tennis,6,0,0,No,High,73,HIGH
28,Tennis,1,12,5,Yes,Low,55,MEDIUM
40,Weightlifting,4,0,2,Yes,Medium,71,HIGH
30,Cricket,2,12,4,No,High,60,MEDIUM
19,Weightlifting,2,5,4,Yes,Medium,54,MEDIUM
32,Basketball,1,4,2,No,Low,46,MEDIUM
20,Tennis,3,0,5,No,Medium,29,LOW
39,Cricket,3,3,1,No,Medium,56,MEDIUM
30,Cricket,4,6,3,Yes,Medium,76,HIGH
40,Tennis,1,9,1,Yes,Medium,86,HIGH
25,Soccer,4,5,3,No,Low,44,MEDIUM
36,Weightlifting,5,8,1,No,Low,81,HIGH
35,Soccer,1,9,3,Yes,Medium,74,HIGH
15,Soccer,4,11,3,No,Medium,75,HIGH
14,Weightlifting,1,1,5,Yes,Medium,53,MEDIUM
34,Weightlifting,5,0,3,No,Medium,57,MEDIUM
39,Weightlifting,4,13,0,No,Low,81,HIGH
29,Tennis,7,6,3,No,Low,59,MEDIUM
16,Weightlifting,7,2,1,No,High,78,HIGH
18,Soccer,5,4,4,No,High,52,MEDIUM
18,Cricket,3,1,0,No,Medium,44,MEDIUM
20,Soccer,5,10,4,No,Medium,57,MEDIUM
22,Soccer,5,7,1,No,Low,57,MEDIUM
21,Running,7,0,0,No,Medium,76,HIGH
23,Running,7,0,5,No,Medium,54,MEDIUM
30,Weightlifting,2,12,0,Yes,Medium,87,HIGH
26,Weightlifting,3,13,5,No,High,50,MEDIUM
30,Running,3,11,5,No,Low,53,MEDIUM
36,Cricket,2,9,4,No,Low,52,MEDIUM
17,Cricket,1,13,5,No,Medium,55,MEDIUM
36,Basketball,7,10,3,No,Medium,85,HIGH
39,Tennis,5,12,0,Yes,High,99,HIGH
16,Tennis,5,5,1,No,Low,59,MEDIUM
21,Basketball,4,13,3,No,Low,54,MEDIUM
26,Soccer,7,2,5,No,High,51,MEDIUM
15,Tennis,3,6,1,No,Low,47,MEDIUM
23,Weightlifting,2,1,4,Yes,Medium,52,MEDIUM
36,Running,6,5,1,No,Low,77,HIGH
36,Weightlifting,2,1,1,No,Medium,46,MEDIUM
40,Basketball,2,10,2,Yes,High,90,HIGH
17,Cricket,1,2,4,Yes,High,51,MEDIUM
35,Basketball,5,10,1,No,Medium,81,HIGH
36,Weightlifting,1,1,0,No,Low,50,MEDIUM
36,Weightlifting,1,11,1,No,Medium,58,MEDIUM
38,Soccer,6,9,0,No,Medium,88,HIGH
23,Basketball,3,10,4,Yes,High,66,HIGH
36,Cricket,6,1,3,No,High,69,HIGH
32,Soccer,3,4,2,No,Low,41,MEDIUM
25,Basketball,7,9,3,No,Medium,86,HIGH
21,Weightlifting,7,7,3,No,High,79,HIGH
30,Running,1,7,3,Yes,High,77,HIGH
28,Tennis,5,13,5,Yes,Low,62,MEDIUM
18,Running,3,3,5,No,Low,20,LOW
36,Tennis,5,3,0,No,Medium,59,MEDIUM
35,Soccer,5,5,3,No,Medium,59,MEDIUM
35,Running,4,5,3,Yes,Low,79,HIGH
20,Basketball,3,5,5,Yes,High,63,MEDIUM
31,Soccer,5,3,5,No,Low,36,MEDIUM
17,Running,4,1,4,Yes,Low,59,MEDIUM
38,Running,5,2,4,Yes,Medium,70,HIGH
23,Soccer,2,11,0,No,Medium,62,MEDIUM
37,Cricket,3,6,4,Yes,Low,55,MEDIUM
31,Tennis,7,0,0,No,Low,74,HIGH
20,Soccer,2,7,3,No,Low,43,MEDIUM
21,Soccer,3,10,4,No,Low,43,MEDIUM
14,Running,1,5,1,No,Medium,58,MEDIUM
26,Weightlifting,1,3,1,No,Medium,46,MEDIUM
15,Tennis,1,11,1,No,Low,50,MEDIUM
15,Tennis,7,11,1,No,Medium,83,HIGH
38,Weightlifting,2,12,3,No,Low,52,MEDIUM
20,Running,2,13,5,Yes,Low,59,MEDIUM
35,Weightlifting,4,12,3,Yes,High,98,HIGH
17,Cricket,1,12,3,No,Medium,60,MEDIUM
29,Basketball,5,3,4,No,Medium,35,MEDIUM
27,Weightlifting,4,0,4,Yes,Low,54,MEDIUM
30,Cricket,6,11,1,No,High,95,HIGH
36,Basketball,6,10,0,No,Medium,86,HIGH
36,Running,3,3,2,Yes,Medium,63,MEDIUM
38,Weightlifting,2,12,4,No,Low,47,MEDIUM
36,Basketball,7,5,2,No,High,77,HIGH
16,Tennis,6,2,0,No,Medium,69,HIGH
33,Weightlifting,5,2,0,No,Low,50,MEDIUM
40,Tennis,4,3,4,No,High,53,MEDIUM
26,Tennis,1,5,3,No,Medium,43,MEDIUM
35,Basketball,3,7,3,No,Medium,49,MEDIUM
26,Tennis,1,3,2,Yes,High,55,MEDIUM
28,Weightlifting,3,9,1,Yes,Low,86,HIGH
27,Tennis,6,0,1,No,High,72,HIGH
21,Basketball,4,5,2,Yes,High,86,HIGH
25,Basketball,3,4,4,No,Medium,41,MEDIUM
38,Running,1,12,5,No,High,63,MEDIUM
20,Weightlifting,2,10,3,Yes,Low,67,HIGH
36,Soccer,4,10,0,No,Low,76,HIGH
27,Basketball,6,11,0,No,Low,68,HIGH
33,Running,5,13,0,No,Medium,77,HIGH
33,Soccer,6,6,0,Yes,Medium,100,HIGH
31,Cricket,1,9,1,No,Medium,65,MEDIUM
15,Tennis,1,3,2,No,Low,32,MEDIUM
20,Weightlifting,2,8,4,No,Medium,46,MEDIUM
40,Basketball,3,13,0,No,Low,73,HIGH
29,Basketball,7,10,2,No,Medium,64,MEDIUM
29,Cricket,4,13,5,No,High,62,MEDIUM
25,Weightlifting,4,1,1,No,High,67,HIGH
18,Weightlifting,1,9,0,No,High,58,MEDIUM
40,Cricket,6,4,3,Yes,Low,84,HIGH
33,Running,4,5,1,No,High,74,HIGH
25,Weightlifting,5,9,0,Yes,Low,80,HIGH
17,Cricket,2,12,5,No,High,53,MEDIUM
23,Cricket,7,8,4,No,High,82,HIGH
32,Cricket,1,9,4,Yes,High,81,HIGH
18,Soccer,5,10,1,No,Medium,75,HIGH
28,Basketball,6,11,5,No,Medium,62,MEDIUM
21,Soccer,4,3,2,No,Low,50,MEDIUM
29,Cricket,4,13,4,No,High,70,HIGH
20,Weightlifting,2,8,5,No,Medium,43,MEDIUM
38,Soccer,4,8,0,Yes,High,100,HIGH
27,Cricket,4,8,2,No,Medium,60,MEDIUM
40,Tennis,7,8,3,No,Medium,77,HIGH
28,Cricket,4,11,0,No,High,81,HIGH
20,Weightlifting,5,12,4,No,Low,51,MEDIUM
28,Soccer,2,9,4,No,High,51,MEDIUM
38,Basketball,3,2,4,No,High,43,MEDIUM
26,Tennis,1,0,2,Yes,Medium,50,MEDIUM
40,Cricket,3,11,2,No,Low,59,MEDIUM
18,Soccer,3,1,2,No,Medium,42,MEDIUM
35,Tennis,3,11,4,No,Low,56,MEDIUM
36,Weightlifting,5,9,4,Yes,Low,83,HIGH
24,Basketball,7,13,4,No,Medium,60,MEDIUM
14,Running,1,6,2,No,Low,50,MEDIUM
33,Basketball,6,10,0,Yes,Medium,100,HIGH
34,Soccer,5,12,0,No,Low,85,HIGH
22,Soccer,1,9,1,No,High,62,MEDIUM
19,Weightlifting,5,10,5,No,Low,47,MEDIUM
32,Soccer,1,3,4,No,Low,32,MEDIUM
14,Tennis,1,12,0,Yes,Medium,85,HIGH
32,Basketball,1,5,2,No,Medium,58,MEDIUM
14,Soccer,4,7,1,No,Medium,61,MEDIUM
22,Basketball,7,9,1,No,Low,88,HIGH
37,Tennis,5,8,3,No,Medium,69,HIGH
33,Soccer,7,1,4,Yes,High,86,HIGH
23,Running,7,8,2,No,Low,66,HIGH
16,Running,5,9,4,No,Medium,61,MEDIUM
18,Soccer,4,7,0,Yes,Medium,76,HIGH
21,Running,7,12,5,No,High,69,HIGH
38,Soccer,4,11,0,No,High,97,HIGH
36,Weightlifting,3,9,2,No,Medium,56,MEDIUM
18,Basketball,6,10,3,No,Low,69,HIGH
17,Cricket,4,6,2,Yes,Low,71,HIGH
19,Tennis,7,13,2,Yes,High,100,HIGH
31,Tennis,4,2,1,No,High,68,HIGH
20,Basketball,2,1,3,No,Medium,38,MEDIUM
38,Cricket,6,7,2,No,Low,68,HIGH
15,Tennis,3,10,5,No,Medium,49,MEDIUM
20,Weightlifting,3,7,2,Yes,Medium,61,MEDIUM
40,Cricket,5,0,4,Yes,Medium,66,HIGH
35,Running,7,10,0,No,High,96,HIGH
25,Cricket,3,10,1,No,Low,57,MEDIUM
30,Basketball,5,2,3,Yes,Medium,83,HIGH
27,Running,5,0,3,Yes,Low,64,MEDIUM
28,Weightlifting,3,1,3,No,Medium,36,MEDIUM
28,Running,1,1,4,No,Low,26,LOW
28,Tennis,6,8,4,No,Medium,64,MEDIUM
36,Running,1,5,5,Yes,Low,59,MEDIUM
37,Weightlifting,5,3,4,No,High,52,MEDIUM
18,Soccer,2,0,2,No,Low,32,MEDIUM
15,Weightlifting,6,0,0,No,High,87,HIGH
29,Basketball,1,4,0,No,Low,53,MEDIUM
36,Running,6,10,5,Yes,Medium,94,HIGH
14,Cricket,4,3,4,No,Medium,49,MEDIUM
22,Tennis,4,5,5,No,Low,45,MEDIUM
23,Cricket,5,7,1,No,Medium,68,HIGH
30,Soccer,7,5,2,No,Medium,75,HIGH
17,Basketball,7,7,1,Yes,High,100,HIGH
27,Cricket,4,1,2,No,Medium,37,MEDIUM
22,Basketball,7,11,1,No,High,96,HIGH
19,Cricket,6,0,0,No,Low,58,MEDIUM
32,Weightlifting,7,8,3,No,Medium,71,HIGH
15,Cricket,7,13,1,No,Low,80,HIGH
27,Cricket,7,13,5,No,Low,58,MEDIUM
34,Running,4,10,4,No,Low,51,MEDIUM
14,Tennis,2,10,0,Yes,High,87,HIGH
28,Soccer,6,12,3,Yes,Medium,86,HIGH
32,Soccer,2,1,4,No,High,38,MEDIUM
14,Weightlifting,7,4,1,No,Medium,88,HIGH
26,Cricket,7,6,1,No,Low,72,HIGH
40,Cricket,5,12,1,Yes,Low,95,HIGH
36,Weightlifting,7,13,4,No,Medium,72,HIGH
22,Cricket,7,6,2,Yes,Medium,80,HIGH
24,Cricket,1,12,5,No,High,56,MEDIUM
17,Running,6,11,0,No,High,96,HIGH
28,Soccer,3,11,0,No,High,65,MEDIUM
40,Soccer,2,1,3,No,Medium,48,MEDIUM
38,Tennis,6,9,0,Yes,Medium,100,HIGH
22,Running,6,7,0,No,High,80,HIGH
15,Cricket,4,13,0,No,Low,80,HIGH
39,Basketball,5,4,1,Yes,Medium,100,HIGH
26,Cricket,2,9,3,Yes,Medium,76,HIGH
17,Soccer,3,3,2,No,Medium,37,MEDIUM
40,Tennis,5,6,2,No,Medium,56,MEDIUM
30,Soccer,5,2,1,Yes,Medium,87,HIGH
25,Cricket,4,0,2,No,High,58,MEDIUM
34,Weightlifting,7,13,5,No,Low,66,HIGH
35,Weightlifting,1,0,0,No,Medium,64,MEDIUM
19,Tennis,7,8,5,No,Low,57,MEDIUM
20,Cricket,2,8,4,No,Low,27,LOW
15,Weightlifting,4,13,0,Yes,Medium,99,HIGH
26,Weightlifting,6,1,3,No,Low,57,MEDIUM
15,Tennis,4,10,5,No,Medium,60,MEDIUM
15,Tennis,6,2,1,Yes,Medium,81,HIGH
31,Tennis,4,10,5,No,Medium,61,MEDIUM
20,Basketball,6,3,2,Yes,Low,77,HIGH
28,Basketball,2,4,4,No,Medium,32,MEDIUM
19,Cricket,2,4,4,Yes,Medium,54,MEDIUM
36,Weightlifting,7,13,1,Yes,Medium,100,HIGH
27,Soccer,1,9,1,No,High,69,HIGH
20,Tennis,2,12,1,No,Medium,68,HIGH
17,Soccer,5,2,1,No,Medium,58,MEDIUM
24,Cricket,7,11,0,No,Low,71,HIGH
34,Tennis,2,4,3,No,High,59,MEDIUM
29,Weightlifting,2,4,5,No,Medium,25,LOW
20,Tennis,7,6,0,No,Medium,73,HIGH
25,Soccer,7,13,1,No,Medium,80,HIGH
19,Basketball,2,7,4,No,Medium,37,MEDIUM
40,Soccer,4,8,3,Yes,Low,76,HIGH
40,Soccer,6,8,3,No,High,95,HIGH
38,Tennis,6,6,4,No,Medium,63,MEDIUM
14,Running,2,1,0,No,Medium,49,MEDIUM
31,Weightlifting,6,7,4,Yes,Low,83,HIGH
36,Tennis,1,10,1,Yes,High,100,HIGH
17,Soccer,3,1,4,No,Low,32,MEDIUM
40,Weightlifting,1,11,1,No,Medium,73,HIGH
35,Running,3,12,2,Yes,Medium,82,HIGH
39,Tennis,2,10,3,Yes,Medium,74,HIGH
18,Soccer,2,7,3,No,Medium,45,MEDIUM
22,Running,5,4,2,Yes,Medium,71,HIGH
23,Tennis,3,3,4,No,Low,19,LOW
25,Soccer,5,4,4,No,Low,47,MEDIUM
26,Basketball,6,12,3,Yes,High,98,HIGH
23,Cricket,4,11,1,Yes,High,97,HIGH
35,Tennis,6,11,2,No,High,82,HIGH
26,Soccer,5,9,5,No,Medium,48,MEDIUM
22,Running,3,9,2,Yes,Medium,73,HIGH
18,Running,3,5,2,No,High,46,MEDIUM
15,Tennis,5,2,0,Yes,Low,64,MEDIUM
16,Weightlifting,7,8,1,Yes,Medium,100,HIGH
28,Tennis,2,11,3,No,Medium,62,MEDIUM
20,Soccer,1,10,2,Yes,Medium,76,HIGH
17,Cricket,3,8,3,No,Low,47,MEDIUM
37,Weightlifting,7,7,2,No,High,70,HIGH
38,Running,7,10,3,Yes,Low,91,HIGH
17,Basketball,6,0,5,Yes,High,74,HIGH
34,Tennis,7,11,1,Yes,Medium,100,HIGH
28,Tennis,5,4,0,No,High,66,HIGH
17,Tennis,4,3,2,No,Low,41,MEDIUM
25,Running,4,10,1,Yes,Low,76,HIGH
20,Running,2,9,1,No,High,67,HIGH
32,Running,1,11,0,No,Low,63,MEDIUM
33,Running,6,10,2,Yes,Low,95,HIGH
27,Cricket,6,12,2,No,Medium,76,HIGH
14,Soccer,3,4,3,Yes,High,72,HIGH
36,Tennis,4,5,5,Yes,Low,56,MEDIUM
38,Running,3,0,0,No,High,60,MEDIUM
16,Cricket,3,8,4,No,Low,40,MEDIUM
34,Weightlifting,3,4,4,No,High,51,MEDIUM
15,Basketball,3,7,5,No,High,47,MEDIUM
28,Soccer,7,13,3,Yes,Low,86,HIGH
31,Running,6,10,0,Yes,Low,100,HIGH
37,Weightlifting,5,1,1,Yes,Medium,83,HIGH
30,Weightlifting,3,2,0,Yes,Low,69,HIGH
40,Basketball,5,11,3,No,Low,56,MEDIUM
14,Soccer,7,10,2,No,Low,78,HIGH
40,Tennis,2,10,0,No,High,77,HIGH
35,Weightlifting,2,6,3,No,Medium,58,MEDIUM
27,Basketball,3,1,4,No,Medium,28,LOW
20,Tennis,1,11,3,No,Low,44,MEDIUM
19,Tennis,7,7,0,No,Medium,72,HIGH
25,Soccer,5,11,1,No,High,87,HIGH
28,Weightlifting,4,9,0,No,Medium,74,HIGH
32,Tennis,3,6,1,No,Medium,57,MEDIUM
25,Weightlifting,6,1,4,No,Low,48,MEDIUM
35,Weightlifting,2,2,2,No,Medium,42,MEDIUM
15,Tennis,2,6,0,No,High,60,MEDIUM
23,Cricket,3,12,2,No,High,57,MEDIUM
17,Cricket,5,7,5,No,Low,50,MEDIUM
38,Running,4,13,5,No,Medium,60,MEDIUM
30,Cricket,2,8,4,No,Medium,48,MEDIUM
24,Basketball,2,5,2,Yes,Low,67,HIGH
33,Running,1,8,4,No,Medium,50,MEDIUM
23,Cricket,1,7,5,No,Low,20,LOW
24,Weightlifting,7,4,1,No,Medium,74,HIGH
21,Basketball,5,6,4,No,Low,32,MEDIUM
31,Cricket,4,6,0,No,Low,67,HIGH
36,Basketball,6,5,5,Yes,High,92,HIGH
21,Running,1,3,0,No,Medium,42,MEDIUM
20,Soccer,6,5,4,Yes,Medium,69,HIGH
40,Tennis,2,6,0,No,Medium,57,MEDIUM
15,Tennis,2,13,4,No,Low,47,MEDIUM
26,Tennis,5,10,5,No,Low,50,MEDIUM
20,Soccer,7,4,2,No,High,77,HIGH
39,Basketball,1,12,5,No,Medium,55,MEDIUM
17,Weightlifting,3,7,4,Yes,Low,60,MEDIUM
34,Weightlifting,6,1,2,No,Medium,70,HIGH
40,Cricket,7,2,2,No,High,70,HIGH
16,Basketball,2,1,5,No,Medium,38,MEDIUM
18,Cricket,2,1,3,Yes,High,57,MEDIUM
34,Cricket,7,5,0,Yes,Medium,92,HIGH
39,Running,5,12,1,No,Low,72,HIGH
40,Cricket,5,2,3,No,High,59,MEDIUM
29,Basketball,5,1,5,Yes,Medium,52,MEDIUM
38,Basketball,1,4,5,No,High,54,MEDIUM
34,Tennis,2,13,1,No,Medium,71,HIGH
35,Tennis,4,12,5,No,High,67,HIGH
22,Running,6,11,5,No,High,63,MEDIUM
40,Running,2,12,2,No,High,69,HIGH
21,Running,5,9,1,No,Low,69,HIGH
34,Basketball,1,6,1,No,Medium,59,MEDIUM
16,Weightlifting,5,9,5,Yes,Low,78,HIGH
35,Running,4,6,3,No,Medium,65,MEDIUM
14,Running,4,12,5,No,High,62,MEDIUM
25,Running,2,12,0,No,High,73,HIGH
37,Tennis,4,7,2,No,Low,59,MEDIUM
24,Cricket,7,9,2,Yes,High,92,HIGH
26,Soccer,3,1,1,No,Medium,39,MEDIUM
16,Tennis,7,0,1,No,High,79,HIGH
15,Cricket,7,6,3,No,Medium,68,HIGH
37,Basketball,6,5,3,No,Low,62,MEDIUM
39,Basketball,1,4,2,No,Medium,51,MEDIUM
22,Soccer,6,1,4,No,Low,49,MEDIUM
28,Running,6,9,4,No,Medium,63,MEDIUM
30,Running,2,3,5,No,Medium,31,MEDIUM
39,Soccer,7,2,3,No,Low,61,MEDIUM
17,Tennis,5,6,5,No,Medium,51,MEDIUM
30,Soccer,2,9,2,No,High,63,MEDIUM
17,Soccer,1,13,0,No,Low,66,HIGH
38,Weightlifting,2,12,4,No,Medium,53,MEDIUM
19,Running,2,1,1,No,High,54,MEDIUM
38,Cricket,6,12,3,No,Medium,78,HIGH
15,Tennis,5,5,4,Yes,High,74,HIGH
14,Weightlifting,3,13,1,No,High,71,HIGH
39,Soccer,6,2,5,No,Medium,55,MEDIUM
20,Tennis,3,6,0,No,Low,55,MEDIUM
28,Soccer,2,12,5,No,Low,44,MEDIUM
23,Basketball,7,8,1,No,Low,81,HIGH
26,Basketball,2,8,5,Yes,Medium,53,MEDIUM
39,Cricket,2,11,0,No,Low,63,MEDIUM
25,Weightlifting,5,10,5,No,Medium,56,MEDIUM
21,Soccer,1,8,2,Yes,High,85,HIGH
21,Basketball,7,10,1,No,Medium,81,HIGH
31,Soccer,5,6,3,No,Medium,58,MEDIUM
36,Soccer,4,7,4,No,Low,53,MEDIUM
30,Soccer,5,5,4,No,Medium,55,MEDIUM
34,Weightlifting,2,12,0,No,Medium,70,HIGH
19,Soccer,1,5,5,Yes,Low,57,MEDIUM
23,Cricket,7,13,4,No,High,74,HIGH
35,Weightlifting,2,6,3,No,Medium,52,MEDIUM
31,Cricket,5,4,0,No,Medium,67,HIGH
22,Tennis,2,8,4,Yes,High,67,HIGH
23,Basketball,6,6,0,No,Medium,71,HIGH
22,Tennis,4,4,2,No,Medium,57,MEDIUM
31,Tennis,5,8,1,No,Medium,85,HIGH
37,Basketball,6,3,2,No,Low,57,MEDIUM
23,Cricket,3,9,0,Yes,Medium,75,HIGH
15,Soccer,6,2,1,Yes,Medium,90,HIGH
31,Cricket,6,6,4,Yes,Medium,77,HIGH
23,Basketball,6,6,3,No,High,69,HIGH
35,Weightlifting,5,8,4,Yes,Low,79,HIGH
30,Soccer,7,0,5,No,High,65,MEDIUM
38,Soccer,1,10,2,No,Medium,77,HIGH
39,Running,4,12,4,No,Medium,64,MEDIUM
15,Cricket,2,5,0,No,Medium,55,MEDIUM
32,Running,5,2,3,No,Low,56,MEDIUM
15,Weightlifting,7,12,0,Yes,High,100,HIGH
34,Tennis,7,4,5,Yes,Medium,87,HIGH
33,Tennis,5,12,1,Yes,Low,95,HIGH
37,Tennis,1,7,1,No,Medium,59,MEDIUM
18,Weightlifting,1,9,1,No,High,72,HIGH
39,Running,4,6,2,No,Medium,60,MEDIUM
30,Cricket,1,4,0,No,Medium,63,MEDIUM
39,Weightlifting,5,3,5,Yes,Medium,60,MEDIUM
27,Cricket,7,7,1,No,High,65,MEDIUM
35,Cricket,3,10,5,Yes,Medium,66,HIGH
23,Running,3,10,1,No,Medium,61,MEDIUM
30,Basketball,2,7,5,No,Medium,45,MEDIUM
30,Cricket,6,7,2,Yes,Low,86,HIGH
34,Running,6,2,3,Yes,Medium,76,HIGH
15,Running,2,8,5,No,Low,45,MEDIUM
39,Basketball,7,12,1,No,Medium,89,HIGH
37,Running,7,5,2,No,High,78,HIGH
31,Weightlifting,2,4,1,No,Medium,56,MEDIUM
16,Basketball,7,10,0,Yes,Medium,100,HIGH
36,Basketball,4,10,4,No,High,67,HIGH
33,Tennis,4,5,1,No,High,74,HIGH
32,Basketball,4,7,1,No,High,78,HIGH
31,Weightlifting,6,9,2,Yes,Low,97,HIGH
25,Tennis,3,4,5,No,Medium,39,MEDIUM
28,Basketball,6,4,3,Yes,Low,75,HIGH
36,Running,5,3,3,No,Medium,52,MEDIUM
24,Soccer,6,5,5,No,Low,52,MEDIUM
26,Soccer,2,6,4,No,Low,34,MEDIUM
32,Weightlifting,3,1,4,No,Low,36,MEDIUM
21,Basketball,6,5,0,Yes,Low,89,HIGH
20,Running,2,10,5,No,High,54,MEDIUM
23,Tennis,3,1,5,No,Low,17,LOW
21,Tennis,3,3,4,No,Low,22,LOW
21,Soccer,1,4,1,No,Medium,52,MEDIUM
27,Running,2,5,3,No,Medium,50,MEDIUM
38,Weightlifting,4,4,2,No,Medium,58,MEDIUM
36,Running,7,13,1,No,Medium,81,HIGH
29,Basketball,2,8,4,Yes,Medium,63,MEDIUM
36,Basketball,2,3,2,No,High,48,MEDIUM
40,Weightlifting,1,9,2,Yes,Low,76,HIGH
24,Basketball,4,12,2,No,High,71,HIGH
15,Running,1,9,1,Yes,High,98,HIGH
19,Tennis,7,7,4,No,High,70,HIGH
24,Tennis,1,13,4,No,Medium,42,MEDIUM
36,Basketball,2,6,4,Yes,Medium,61,MEDIUM
16,Tennis,6,6,5,Yes,Medium,76,HIGH
24,Basketball,1,13,5,No,Medium,53,MEDIUM
21,Soccer,7,11,0,Yes,Medium,96,HIGH
14,Tennis,1,12,4,No,Medium,53,MEDIUM
23,Weightlifting,3,8,4,No,Medium,45,MEDIUM
25,Soccer,1,0,0,Yes,Medium,67,HIGH
17,Running,2,13,0,No,Medium,62,MEDIUM
26,Tennis,7,5,2,Yes,High,84,HIGH
20,Weightlifting,5,10,0,No,High,83,HIGH
29,Soccer,1,8,1,Yes,Medium,78,HIGH
17,Cricket,4,0,1,No,Medium,50,MEDIUM
21,Cricket,4,9,3,No,Low,62,MEDIUM
29,Weightlifting,3,8,4,No,Medium,51,MEDIUM
28,Weightlifting,3,13,4,No,High,59,MEDIUM
35,Weightlifting,1,3,2,No,Low,50,MEDIUM
40,Tennis,2,12,0,No,High,67,HIGH
31,Tennis,1,2,5,No,Low,27,LOW
25,Cricket,7,8,1,Yes,High,100,HIGH
20,Soccer,7,5,1,Yes,Low,92,HIGH
38,Weightlifting,5,1,0,No,Medium,57,MEDIUM
35,Basketball,2,7,0,No,High,79,HIGH
22,Soccer,3,12,5,No,Low,50,MEDIUM
40,Tennis,3,13,4,No,High,55,MEDIUM
35,Tennis,2,1,1,No,Medium,53,MEDIUM
27,Weightlifting,1,12,2,No,Medium,63,MEDIUM
26,Tennis,3,10,5,Yes,High,68,HIGH
36,Soccer,3,5,5,Yes,Medium,63,MEDIUM
21,Weightlifting,4,4,2,No,Medium,60,MEDIUM
32,Weightlifting,2,3,2,No,Medium,38,MEDIUM
27,Cricket,1,3,4,No,Medium,32,MEDIUM
38,Soccer,1,12,5,No,High,53,MEDIUM
38,Running,7,2,1,Yes,Low,92,HIGH
14,Tennis,2,6,2,No,Low,45,MEDIUM
28,Cricket,3,1,3,No,High,46,MEDIUM
29,Running,5,0,4,No,High,51,MEDIUM
15,Cricket,6,10,5,No,Low,60,MEDIUM
20,Basketball,6,10,4,No,Medium,67,HIGH
38,Running,5,11,5,No,Low,58,MEDIUM
14,Basketball,6,1,1,No,Medium,84,HIGH
33,Basketball,2,8,5,No,Medium,57,MEDIUM
27,Running,4,4,1,No,Medium,66,HIGH
18,Tennis,4,5,3,No,Medium,47,MEDIUM
36,Cricket,2,6,3,No,Low,48,MEDIUM
27,Tennis,5,11,2,Yes,High,87,HIGH
28,Weightlifting,4,9,1,No,Medium,69,HIGH
